host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata	uniprot	tdl
MARK3	hpi_krogan||ppi_sg	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||SmartGraph	Preprint/Nature, experimental data||SmartGraph analysis max. dist=3, min. conf=0	False||False	True||False	na||0.63	na||confidence	na||na	na||na	source:hpi||source:ppi	P27448	Tchem
MAT2B	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q9NZL9	Tbio
MCTS1	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.4270000000000001	na||STRING DB score	na||na	na||na	notes:viral translation;role:sensitization_anti-viral||source:ppi	Q9ULC4	Tbio
MDGA2	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.203	na||STRING DB score	na||na	na||na	na||source:ppi	Q7Z553	Tbio
MDM2	dti_jm_nhc||ppi_sg	False||True	Prediction by Jordi Mestres, PhD (JM)||SmartGraph	File shared by JM||SmartGraph analysis max. dist=3, min. conf=0	False||False	True||False	na||0.61	na||confidence	na||na	na||na	source:dti||source:ppi	Q00987	Tchem
MDN1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.181	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NU22	Tdark
MED16	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.414	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q9Y2X0	Tbio
MEF2C	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.09	confidence	na	na	source:ppi	Q06413	Tbio
MEPCE	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.174	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q7L2J0	Tbio
MFGE8	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.901	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q08431	Tbio
MGST3	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.193	na||STRING DB score	down||na	quantity change||na	na||source:ppi	O14880	Tbio
MIB1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16399999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q86YT6	Tbio
MIPOL1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.24	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8TD10	Tbio
MITF	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.14	confidence	na	na	source:ppi	O75030	Tbio
MMS19	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.454	na||STRING DB score	na||na	na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi	Q96T76	Tbio
MNAT1	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.156	na||STRING DB score	na||na	na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi	P51948	Tbio
MOGS	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.179	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13724	Tbio
MOV10	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.269	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9HCE1	Tbio
MPHOSPH10	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.989	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O00566	Tbio
MPO	dti_jm_hcq||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.273	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P05164	Tchem
MPZL3	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.331	na||STRING DB score	na||na	na||na	na||source:ppi	Q6UWV2	Tbio
MRPL47	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.234	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q9HD33	Tbio
MRPS2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.15	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y399	Tbio
MRPS25	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.196	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P82663	Tdark
MRPS27	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.19	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q92552	Tbio
MRPS5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.191	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P82675	Tdark
MSN	hpi_phipster||hostprot_taiml||ppi_string	False||False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.355	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P26038	Tbio
MTARC1	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q5VT66	Tbio
MTCH1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.158	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NZJ7	Tbio
MTREX	ppi_string	True	STRING	STRING API	False	False	0.847	STRING DB score	na	na	source:ppi	P42285	Tbio
MYADM	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.557	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q96S97	Tbio
MYC	ppi_sg||ppi_string	True||True	SmartGraph||STRING	SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False	False||False	0.08||0.518	confidence||STRING DB score	na||na	na||na	source:ppi||source:ppi	P01106	Tbio
MYCBP2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.204	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O75592	Tbio
MYOD1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.08	confidence	na	na	source:ppi	P15172	Tbio
NAA40	hostprot_hats	False	Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD	TIO, TW	True	False	na	na	na	na	na	Q86UY6	Tbio
NAA60	hostprot_hats	False	Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD	TIO, TW	True	False	na	na	na	na	na	Q9H7X0	Tbio
NARS2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.208	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96I59	Tbio
NAT14	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.173	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8WUY8	Tbio
NCBP1	ppi_string	True	STRING	STRING API	False	False	0.261	STRING DB score	na	na	source:ppi	Q09161	Tbio
NCBP2	ppi_string	True	STRING	STRING API	False	False	0.458	STRING DB score	na	na	source:ppi	P52298	Tbio
NCOA1	hostprot_hats||ppi_sg	False||True	Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD||SmartGraph	TIO, TW||SmartGraph analysis max. dist=3, min. conf=0	True||False	False||False	na||0.16	na||confidence	na||na	na||na	na||source:ppi	Q15788	Tchem
NCOA3	hostprot_hats||dti_jm_nhc||ppi_sg||ppi_string	False||False||True||True	Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD||Prediction by Jordi Mestres, PhD (JM)||SmartGraph||STRING	TIO, TW||File shared by JM||SmartGraph analysis max. dist=3, min. conf=0||STRING API	True||False||False||False	False||True||False||False	na||na||0.26||0.195	na||na||confidence||STRING DB score	na||na||na||na	na||na||na||na	na||source:dti||source:ppi||source:ppi	Q9Y6Q9	Tbio
NCR3LG1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.298	na||STRING DB score	na||na	na||na	na||source:ppi	Q68D85	Tbio
NDFIP2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.266	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NV92	Tbio
NDOR1	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.426	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q9UHB4	Tbio
NDUFAF1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.519	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y375	Tclin
NDUFAF2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.935	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8N183	Tclin
NDUFB3	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.944	na||STRING DB score	down||na	quantity change||na	na||source:ppi	O43676	Tclin
NDUFB9	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.931	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y6M9	Tclin
NEDD8	hpi_phipster||hostprot_taiml||ppi_string	False||False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.381	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q15843	Tbio
NEK9	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.203	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8TD19	Tchem
NELFCD	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	Q8IXH7	Tbio
NEU1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.153	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q99519	Tbio
NFAM1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.183	na||STRING DB score	na||na	na||na	na||source:ppi	Q8NET5	Tbio
NFKB1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.98	confidence	na	na	source:ppi	P19838	Tchem
NGDN	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.982	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8NEJ9	Tbio
NGLY1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.242	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96IV0	Tbio
NIN	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q8N4C6	Tbio
NINL	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.481	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y2I6	Tbio
NKX3-1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.01	confidence	na	na	source:ppi	Q99801	Tbio
NLRX1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.329	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q86UT6	Tbio
NNT	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.206	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q13423	Tbio
NOL10	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.997	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BSC4	Tdark
NONO	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.305	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q15233	Tbio
NOP56	ppi_string	True	STRING	STRING API	False	False	0.235	STRING DB score	na	na	source:ppi	O00567	Tbio
NOTCH1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.11	confidence	na	na	source:ppi	P46531	Tchem
NPC2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.306	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61916	Tbio
NPTX1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16699999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q15818	Tbio
NQO2	dti_jm_hcq||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.534	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P16083	Tchem
NSD2	hpi_krogan||ppi_sg	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||SmartGraph	Preprint/Nature, experimental data||SmartGraph analysis max. dist=3, min. conf=0	False||False	True||False	na||0.03	na||confidence	na||na	na||na	source:hpi||source:ppi	O96028	Tchem
NUB1	hpi_phipster||hostprot_taiml||ppi_string	False||False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.51	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9Y5A7	Tbio
NUMB	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.2	confidence	na	na	source:ppi	P49757	Tbio
NUP155	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.23	na||STRING DB score	na||na	na||na	na||source:ppi	O75694	Tbio
NUP210	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.906	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8TEM1	Tbio
NUP214	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16899999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P35658	Tbio
NUP35	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.267	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q8NFH5	Tbio
NUP54	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.315	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q7Z3B4	Tbio
NUP58	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16899999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BVL2	Tbio
NUP62	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.156	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P37198	Tbio
NUP85	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.294	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q9BW27	Tbio
NUP88	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.251	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q99567	Tbio
NUP98	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	P52948	Tbio
NUTF2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.334	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61970	Tbio
OASL	hpi_phipster||ppi_string	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||STRING API	False||False	True||False	na||0.366	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q15646	Tbio
OAT	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.483	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P04181	Tchem
OS9	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.403	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13438	Tbio
OSBPL5	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.306	na||STRING DB score	na||na	na||na	na||source:ppi	Q9H0X9	Tbio
OSBPL8	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.189	na||STRING DB score	na||na	na||na	notes:3d by feature importance FigS4;role:resistance_pro_viral||source:ppi	Q9BZF1	Tbio
OSCAR	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.223	na||STRING DB score	na||na	na||na	na||source:ppi	Q8IYS5	Tbio
P2RX1	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.3670000000000001	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P51575	Tchem
P2RX3	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.253	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P56373	Tchem
P2RX4	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.326	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q99571	Tchem
P2RY2	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.44	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P41231	Tclin
P2RY4	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.304	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P51582	Tchem
P4HA3	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.207	na||STRING DB score	na||na	na||na	na||source:ppi	Q7Z4N8	Tbio
PABPC1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.171	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P11940	Tbio
PABPC4	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.155	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13310	Tbio
PAX7	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.15	confidence	na	na	source:ppi	P23759	Tbio
PCBD1	hostprot_nat||hostprot_crispr||ppi_string	True||True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Shared by TIO||Extracted by TIO||STRING API	False||False||False	True||True||False	na||na||0.177	na||na||STRING DB score	down||na||na	quantity change||na||na	na||notes:;role:resistance_pro_viral||source:ppi	P61457	Tbio
PCCA	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.27	na||STRING DB score	na||na	na||na	na||source:ppi	P05165	Tbio
